VOLTAGE,CURRENT,GAS,WIRESPEED,OUTLIER,DEFECT
12.7,888.2,31.3,0,0,0
21.6,371.6,31.2,0,0,0
23.2,257.6,31.2,0,0,0
24.1,207.3,31.3,0,0,0
24.8,184.4,31.3,0,0,0
24.8,166.2,31.3,0,0,0
24.8,160.8,31.3,2.7,0,0
26.9,291.4,31.2,0,0,0
30.3,290.7,31.1,3.8,0,0
32.6,485,31.1,4,0,0
33.3,371.3,30.9,4.5,0,0
35.1,385.6,30.8,4.8,0,0
38.7,201.2,30.9,5.2,0,0
36,139.1,30.9,5.7,0,0
35.2,106.6,30.7,6.1,0,0
66.9,-13.7,30.7,6.3,0,0
76.6,-30.9,30.6,6.8,0,0
76.7,-7.1,30.6,7.2,0,0
76.8,-2.6,30.8,7.5,0,0
76.8,-8,30.8,7.6,0,0
76.8,13.6,30.9,7.9,0,0
76.9,-1.3,31,8.2,0,0
76.8,16.2,31,8.2,0,0
76.8,8.6,30.9,8.5,0,0
76.8,3.1,30.8,8.8,0,0
76.8,-9,30.7,8.9,0,0
15.6,196.1,30.8,8.8,0,0
16,297.1,30.7,8.9,0,0
13.1,229.6,30.7,8.5,0,0
8.9,559.8,30.6,8.3,0,0
9.1,575.4,30.5,8.2,0,0
21.1,408.2,30.5,7.8,0,0
24.4,517.8,30.6,7.3,0,0
10.2,576.7,30.7,7,0,0
27,533.7,30.6,6.7,0,0
30.7,591.4,30.5,0,0,0
32.9,511.4,30.5,5.6,0,0
33.2,519.1,30.6,5.3,0,0
38.3,297.1,30.6,5.3,0,0
35.9,274.5,30.7,5.7,0,0
33.5,219.1,30.8,0,0,0
37.5,210.8,30.8,5.9,0,0
34.9,260.1,30.7,6.1,0,0
35.5,213,30.8,6.8,0,0
35.6,349.6,30.6,7,0,0
35.1,122.9,30.5,7.1,0,0
34.7,307,30.5,7.4,0,0
34.8,217.8,30.5,7.6,0,0
33.7,287.2,30.5,7.6,0,0
35.7,344.2,30.6,7.8,0,0
34.3,309.2,30.5,7.9,0,0
35.3,498.4,30.4,8.1,0,0
34.8,310.5,30.4,8,0,0
35.1,515.6,30.4,7.9,0,0
34.9,375.1,30.4,8,0,0
32.9,352.2,30.6,8.1,0,0
28.2,243.6,30.4,8.2,0,0
27,159.5,30.4,8.2,0,0
27.3,183.4,30.3,8.2,0,0
26.9,150,30.3,8.1,0,0
25.4,190.7,30.4,8.1,0,0
25.5,182.8,30.3,7.8,0,0
25.9,275.4,30.4,7.5,0,0
28.2,333.4,30.3,7,0,0
29.1,350.6,30.3,6.6,0,0
29.7,457.3,30.2,6.4,0,0
30.7,414,30.4,6.1,0,0
30.6,471.3,30.2,5.9,0,0
29.8,292,30.2,5.9,0,0
29.6,364,30.1,6,0,0
29.6,257.9,30,6,0,0
30.2,291,30.1,0,0,0
30.3,354.7,30.2,6.2,0,0
30.2,248,30.1,6.3,0,0
30.7,409.5,30.1,6.4,0,0
31,296.1,30,6.4,0,0
30.6,444.9,29.9,6.5,0,0
30.5,308.2,29.9,6.6,0,0
30,332.1,29.9,6.8,0,0
29.5,326.7,29.9,6.9,0,0
30.3,248.7,30,7,0,0
29.3,313.3,29.9,7.1,0,0
29.3,222.3,29.8,7.1,0,0
28.5,268.7,30,7,0,0
29,240.1,30,7.1,0,0
28.8,330.5,29.9,7.1,0,0
29.5,320,29.7,7.2,0,0
28.7,257.3,29.9,7.1,0,0
29.7,413.7,30,7,0,0
29.5,322.6,30,7.2,0,0
28.4,328.9,29.8,7.2,0,0
28.9,224.5,29.9,7.3,0,0
28.6,300.3,29.8,7.3,0,0
29,278.6,29.8,7.4,0,0
28.5,215.9,29.8,7.5,0,0
28.5,322.3,29.9,7.4,0,0
28.1,249,29.8,7.4,0,0
28,367.5,29.8,7.5,0,0
28.8,318.1,29.8,7.5,0,0
29.3,450.6,29.8,7.5,0,0
29.4,367.5,29.7,7.6,0,0
28.9,364.9,29.5,7.7,0,0
28.5,393.9,29.6,7.7,0,0
29.3,302.8,29.7,7.8,0,0
28.8,385,29.6,8.1,0,0
29.3,342.3,29.6,8.2,0,0
29.1,402.8,29.5,8.3,0,0
29.4,349.3,29.7,8.6,0,0
29.3,385.6,29.6,9.1,0,0
29.5,442,29.5,9,0,0
28.8,333.7,29.3,8.3,0,0
28.9,449.3,29.4,8.1,0,0
29,366.8,29.3,8.5,0,0
28.9,403.8,29.2,8.6,0,0
28.9,304.1,29.3,8.5,0,0
29.8,337.9,29.3,8.4,0,0
29.4,364.6,29.3,8.8,0,0
29.1,261.1,29.2,9.2,0,0
28.9,376.1,29.2,9.1,0,0
29.2,296.1,29.1,8.7,0,0
28.4,442,29.2,8.9,0,0
28.5,329.6,29.2,8.5,0,0
28.7,418.4,29.1,8.2,0,0
28.6,369.7,29,8.1,0,0
29,334.4,29.2,8.2,0,0
29.1,371.3,29.2,8.1,0,0
28.3,292,29.1,8.2,0,0
29.1,364,29.1,8,0,0
29,336.6,29.1,8,0,0
28.7,417.8,29.1,7.9,0,0
28.9,344.9,29,8,0,0
29,313.3,29.1,7.9,0,0
28.9,448.4,29.1,8.2,0,0
28.7,370.3,29.1,8.1,0,0
28.7,400.6,29.1,7.9,0,0
28.7,326.4,29.1,8.1,0,0
28.7,392.6,29.1,8.2,0,0
28.9,321.9,29.1,8.1,0,0
28.8,294.9,29.1,8.1,0,0
28.5,384,29,8.1,0,0
29.3,278,29.1,7.7,0,0
29,403.8,29.1,7.7,0,0
28.7,328.3,29,7.8,0,0
29,454.7,29,7.6,0,0
28.8,343,29,7.7,0,0
28.8,391.4,29,7.9,0,0
28.9,397.1,28.8,7.9,0,0
29.2,292.6,28.9,7.4,0,0
29.1,369.1,28.8,0,0,0
29,294.5,28.8,6.4,0,0
28.7,326.7,28.8,6.6,0,0
29,308.6,28.9,7.4,0,0
28.5,389.5,28.8,7.7,0,0
29.1,382.8,28.7,7.9,0,0
29,304.4,28.7,8.1,0,0
28.8,431.2,28.7,8.3,0,0
29.1,375.4,28.8,8.3,0,0
29.5,393.3,28.8,8.3,0,0
29.2,295.5,28.8,8.4,0,0
28.8,354.7,28.7,8.4,0,0
28.8,353.5,28.7,8.4,0,0
28.9,272.9,28.7,8.5,0,0
29,364.9,28.8,8.5,0,0
29.1,287.2,28.7,8.4,0,0
29,406.6,28.6,8.4,0,0
28.6,309.5,28.5,8.4,0,0
28.8,422.6,28.6,8.4,0,0
28.7,365.9,28.6,8.3,0,0
29,356,28.6,8.4,0,0
28.7,404.1,28.6,8.4,0,0
28.9,292,28.6,8.3,0,0
29,350,28.5,8.3,0,0
28.7,345.5,28.5,8.4,0,0
29,418.1,28.5,8.6,0,0
28.7,328.9,28.5,8.7,0,0
28.9,352.2,28.5,8.8,0,0
28.6,433.1,28.5,8.7,0,0
28.7,320.7,28.4,8.6,0,0
28.6,420.7,28.5,8.5,0,0
29,343,28.4,8.6,0,0
28.3,394.2,28.4,8.7,0,0
29.2,341.7,28.4,8.6,0,0
29.1,318.7,28.5,8.5,0,0
28.9,385.6,28.4,8.6,0,0
28.5,279.6,28.3,8.7,0,0
29,395.8,28.3,8.5,0,0
28.6,362.4,28.3,8.5,0,0
28.6,489.1,28.3,8.5,0,0
28.8,353.8,28.3,8.6,0,0
28.9,417.5,28.3,8.5,0,0
29.4,397.7,28.1,8.5,0,0
29.3,321.3,28.2,8.5,0,0
29.2,366.5,28,8.5,0,0
28.8,339.1,28.1,8.5,0,0
28.7,380.5,28.2,8.3,0,0
28.8,352.5,28.3,8.5,0,0
28.9,422.9,28.2,8.6,0,0
29.1,360.2,28.1,8.4,0,0
28.5,294.5,28.2,8,0,0
29.1,433.1,28.1,8.2,0,0
28.7,370,28,8.2,0,0
28.8,393.9,28,8.1,0,0
28.9,318.7,28.1,7.6,0,0
29.6,372.9,28,7.1,0,0
29.5,328.9,28,6.7,0,0
28.5,245.8,28,6.6,0,0
28.7,335,28.1,6.8,0,0
28.7,264.9,28,6.7,0,0
29.2,376.1,27.9,6.4,0,0
28.3,281.8,28,6.1,0,0
28.3,400.9,28,6.8,0,0
28.1,314.3,27.9,7.2,0,0
28.3,338.2,28,7.3,0,0
28.8,357,28.1,7.7,0,0
28.7,250.6,28,7.8,0,0
28.5,312.1,28.1,7.6,0,0
28.4,310.2,27.9,7.7,0,0
28.6,378.9,27.8,7.7,0,0
28.7,324.8,28,7.6,0,0
28.9,347.1,27.9,7.8,0,0
28.6,399,27.8,8,0,0
28.9,287.9,27.9,7.6,0,0
28.8,395.5,27.9,7.4,0,0
29,368.4,27.9,7.7,0,0
29.3,386.6,27.7,7.8,0,0
29,305.4,27.8,7.9,0,0
28.9,343,27.7,8,0,0
28.7,374.5,27.8,8,0,0
29,265.9,27.7,7.2,0,0
29.1,339.1,27.6,0,0,0
28.6,286.6,27.7,5.6,0,0
28.7,387.9,27.7,5.7,0,0
28.8,288.5,27.8,7,0,0
28.4,396.5,27.7,7.4,0,0
28.2,363.7,27.7,7.5,0,0
28.7,320,27.7,7.8,0,0
28.7,384,27.5,8.1,0,0
28.7,307.6,27.6,8.2,0,0
28.7,348,27.7,8.1,0,0
29.1,356,27.6,8.2,0,0
29.3,414.9,27.7,8.3,0,0
28.8,326.7,27.6,8.3,0,0
28.6,318.4,27.7,8.3,0,0
28.8,426.1,27.6,8.4,0,0
28.7,338.2,27.5,8.4,0,0
28.9,387.2,27.5,8.3,0,0
28.9,325.8,27.5,8.3,0,0
29,383.1,27.5,8.4,0,0
29.3,338.2,27.4,8.4,0,0
28.8,312.7,27.5,8.3,0,0
29,370.3,27.6,8.2,0,0
29.2,279.9,27.5,7.7,0,0
29.1,370.7,27.5,8,0,0
28.4,315.2,27.5,8.2,0,0
29,444.5,27.4,8.2,0,0
28.8,331.5,27.4,8.1,0,0
28.9,383.7,27.4,8.3,0,0
28.5,387.2,27.3,8.9,0,0
28.9,301.2,27.4,8.9,0,0
28.5,375.8,27.3,8.6,0,0
29.2,342,27.2,8,0,0
29.2,371,27.3,7.8,0,0
28.7,330.5,27.4,7.9,0,0
28.7,386.6,27.4,8.3,0,0
28.9,373.5,27.4,9,0,0
28.7,293.6,27.3,8.8,0,0
28.7,417.8,27.3,8.2,0,0
29.2,373.5,27.4,8.1,0,0
28.9,386.6,27.3,8.1,0,0
28.9,316.8,27.2,8.1,0,0
28.9,388.2,27.2,8,0,0
29.3,367.5,27.3,7.7,0,0
29,295.2,27.3,7.7,0,0
28.9,364,27.3,7.8,0,0
29,303.5,27.3,7.8,0,0
28.6,402.2,27.3,7.6,0,0
29.3,317.2,27.2,7,0,0
28.9,413,27.2,0,0,0
28.9,331.5,27.2,6.4,0,0
28.4,322.3,27.2,7.1,0,0
28.8,360.8,27.2,7.4,0,0
28.9,279.3,27.2,7.8,0,0
28.9,340.7,27.3,7.9,0,0
29.1,331.5,27.3,7.4,0,0
29.6,378,27.3,6.4,0,0
28.8,258.9,27.1,5.6,0,0
28.6,266.8,27.1,0,0,0
27.7,345.8,27.3,5.2,0,0
28.6,235.9,27.3,5.3,0,0
30.8,321.3,27.2,0,0,0
29.3,255.7,27.1,0,0,0
28.5,302.8,27,5.8,0,0
28.7,238.8,27,6.6,0,0
28.4,235.6,27.1,6.2,0,0
28.2,332.1,27,6.6,0,0
29.3,240.4,26.9,7,0,0
29,307.3,26.9,6.7,0,0
29.7,257.6,27,6,0,0
28.7,375.4,26.9,6.3,0,0
28.6,267.5,26.9,6.2,0,0
28.8,335.6,26.8,5.8,0,0
28.7,317.2,26.7,5.6,0,0
29.3,240.7,26.8,6.1,0,0
28.4,314.9,26.8,5.4,0,0
28.6,291,26.8,6.1,0,0
28.7,296.1,26.8,6.7,0,0
28.8,308.6,26.8,6.2,0,0
28.3,371.3,27,7,0,0
28.9,301.2,26.7,7.4,0,0
28.9,250.3,26.8,7,0,0
28.9,347.7,26.8,0,0,0
28.6,276.1,26.7,5.5,0,0
28.7,317.8,26.8,5.5,0,0
28.7,271.6,26.8,6.2,0,0
28.4,336.6,26.9,7.1,0,0
28.2,319.4,26.8,7.5,0,0
28.4,264.3,26.9,7.7,0,0
28.8,332.4,27,8,0,0
28.9,280.2,26.9,8.1,0,0
29,362.7,26.8,8.1,0,0
28.7,313,26.8,8.1,0,0
28.7,421.9,26.9,8.2,0,0
28.7,329.3,26.9,8.2,0,0
28.9,366.5,26.8,8.2,0,0
28.7,390.7,26.8,8.3,0,0
29,303.8,26.9,8.1,0,0
29.2,351.6,26.8,7.8,0,0
29,375.4,26.7,8.1,0,0
28.9,413.3,26.7,8.1,0,0
28.6,337.9,26.9,8.1,0,0
29,358.9,26.8,8.2,0,0
28.9,369.7,26.7,8.2,0,0
29.1,266.8,26.7,7.8,0,0
28.9,368.4,26.7,7.5,0,0
28.9,351.9,26.8,7.9,0,0
28.9,368.7,26.6,7.9,0,0
28.8,327,26.6,7.7,0,0
29,362.7,26.5,7.5,0,0
28.6,370.3,26.7,7.9,0,0
29,285.9,26.6,7.8,0,0
28.7,339.1,26.6,8.1,0,0
28.7,314.3,26.6,8.1,0,0
28.9,400.9,26.5,8.2,0,0
28.9,322.9,26.6,8.1,0,0
29,395.8,26.6,8.1,0,0
28.8,346.8,26.5,8.1,0,0
28.5,327.3,26.7,8.3,0,0
28.9,382.8,26.5,8.1,0,0
29.2,337.9,26.5,8.2,0,0
28.3,367.2,26.6,7.9,0,0
28.7,364.9,26.5,7.7,0,0
28.6,435.6,26.7,7.7,0,0
29.1,330.2,26.6,7.2,0,0
28.9,296.5,26.5,7.5,0,0
28.9,378.9,26.5,7.8,0,0
28.7,286.9,26.4,7.9,0,0
28.6,365.2,26.5,7.7,0,0
29.5,341,26.5,7.1,0,0
28.9,350.9,26.4,6.3,0,0
29.3,284.7,26.3,5.7,0,0
28.5,245.5,26.5,5.7,0,0
28.3,305.7,26.5,6.6,0,0
28.2,246.5,26.4,7,0,0
28.3,334.7,26.4,7.2,0,0
29.1,290.7,26.5,6.5,0,0
28.9,355.7,26.5,0,0,0
28.9,243.9,26.3,0,0,0
29.6,274.8,26.3,5.4,0,0
28.5,268.4,26.3,5.8,0,0
28.8,188.2,26.2,6.1,0,0
28.5,249,26.3,6.5,0,0
28.5,280.2,26.3,6.2,0,0
28.6,292,26.2,6.1,0,0
28.7,283.1,26.4,6.6,0,0
28.9,323.2,26.4,6.7,0,0
29,285,26.3,6,0,0
28.4,200,26.3,5.3,0,0
28.8,275.4,26.4,0,0,0
29,235.6,26.3,0,0,0
28.3,236.3,26.3,4.2,0,0
28,217.8,26.3,5.7,0,0
27.4,198,26.3,6,0,0
27.9,264.3,26.3,6.8,0,0
28.4,212.1,26.2,7,0,0
29,272.9,26.3,6.8,0,0
28.3,260.5,26.2,7,0,0
28.7,328.9,26.3,7.2,0,0
28.1,264.9,26.3,7.3,0,0
28.4,388.8,26.3,7.4,0,0
28.6,306.6,26.2,7.7,0,0
28.7,287.5,26.4,7.5,0,0
28.6,327.3,26.4,6.5,0,0
28.8,267.8,26.2,5.7,0,0
28.6,296.5,26.3,5.8,0,0
28.6,336.6,26.3,5.9,0,0
28.5,392,26.3,7.1,0,0
28.2,310.2,26.3,7.5,0,0
28.6,314.9,26.3,7.5,0,0
28.6,350,26.2,8,0,0
28.7,259.8,26.3,8.1,0,0
28.5,360.5,26.2,8,0,0
28.9,358.6,26.3,7.9,0,0
28.8,378.6,26.1,8.1,0,0
28.3,345.8,26.2,8.1,0,0
28.8,369.4,26,8.2,0,0
28.8,376.7,26.1,8.2,0,0
28.8,307,26,8.2,0,0
28.7,344.2,26.1,7.8,0,0
28.8,333.1,26.1,8.1,0,0
28.6,419.1,26,8.1,0,0
28.8,327,26,8.3,0,0
28.9,400.9,26.1,8.2,0,0
29,348.7,26,8.2,0,0
29.1,308.2,26.1,7.9,0,0
29.2,365.2,26.1,7.3,0,0
28.6,350.9,26,7.7,0,0
28.7,360.8,25.9,7.9,0,0
28.6,375.4,26,7.9,0,0
29,414.3,26.1,7.9,0,0
29.1,319.1,26,8.1,0,0
28.9,291.7,25.9,8.1,0,0
28.7,373.2,25.9,8.2,0,0
29.1,324.2,25.8,8.3,0,0
28.5,349.3,25.9,8.5,0,0
28.9,365.6,26,8.6,0,0
28.8,404.4,25.9,8.4,0,0
29,352.5,25.9,8.3,0,0
28.8,318.7,26,8.4,0,0
28.8,355.7,26,8.3,0,0
29,310.8,25.9,8.3,0,0
28.7,360.8,26,8.2,0,0
29.1,345.8,25.9,8.1,0,0
29.2,434,25.9,8.2,0,0
29,330.5,26,7.7,0,0
29.2,360.8,26,7.6,0,0
28.9,357.6,26,8.1,0,0
28.6,311.4,26,8,0,0
29.2,362.7,26.1,7.7,0,0
28.4,369.4,26.1,7.5,0,0
28.8,421.6,26.1,7,0,0
