VOLTAGE,CURRENT,GAS,WIRESPEED,OUTLIER,DEFECT
1,15.2,30.4,0,0,0
20.8,343.3,30.5,0,0,0
22,320,30.5,0,0,0
22,287.9,30.5,0,0,0
24.2,263.3,30.4,0,0,0
23.6,266.2,30.4,0,0,0
24.8,263,30.1,0,0,0
24.1,274.8,30.3,0,0,0
25.2,214.6,30.2,2.7,0,0
26,362.1,30.3,3.5,0,0
30.2,358.9,30.4,3.9,0,0
32.7,561.4,30.2,0,0,0
33.5,431.2,30.1,4.3,0,0
34.1,462.4,30,4.9,0,0
34.6,555.7,30.1,5.2,0,0
35.4,349.6,30.1,5.6,0,0
35.3,522.6,30,6.2,0,0
36.1,353.1,29.9,6.9,0,0
36.8,316.5,30,7.2,0,0
36.1,189.8,30,7.2,0,0
35.2,135.3,30,7.3,0,0
34.9,283.7,30,7.7,0,0
35.2,173.5,29.9,8.2,0,0
34.2,352.2,29.8,8.4,0,0
33.7,293.3,29.8,8.3,0,0
35.6,430.2,29.9,8.4,0,0
34.5,282.1,29.9,8.6,0,0
36.2,418.8,29.8,8.7,0,0
35.1,393,29.7,8.8,0,0
35.1,360.8,29.7,8.5,0,0
35.1,481.5,29.8,8.2,0,0
35.4,374.5,29.7,8.5,0,0
35.5,450.3,29.9,8.9,0,0
35.6,363.3,29.6,8.9,0,0
35.4,497.7,29.6,8.6,0,0
35.5,375.8,29.5,8.6,0,0
35.6,360.8,29.5,8.7,0,0
35.3,465.6,29.4,8.7,0,0
35.6,324.5,29.4,8.7,0,0
35.5,458.9,29.5,8.7,0,0
35,314.6,29.4,8.8,0,0
35.4,450.3,29.4,9,0,0
35.7,346.5,29.4,8.9,0,0
34.7,370.7,29.4,8.7,0,0
35.8,473.2,29.4,8.7,0,0
35.8,347.4,29.3,8.8,0,0
35.4,428,29.1,8.8,0,0
35.9,372.6,29.1,8.6,0,0
35.9,453.5,29.1,8.5,0,0
36,345.8,29.2,8.3,0,0
34.9,453.1,29.2,8.5,0,0
35.4,424.2,29.1,8.7,0,0
35.4,352.2,29.1,8.9,0,0
34.5,466.5,29.2,8.7,0,0
35.1,368.4,29.1,8.7,0,0
36.1,444.2,29.2,8.8,0,0
35.3,345.2,29,8.8,0,0
33.4,372.9,28.9,8.8,0,0
28.8,228,29,8.7,0,0
28.2,246.1,29,8.8,0,0
27.7,322.6,29,8.9,0,0
28.4,228.6,29,8.8,0,0
28.2,398.4,29,8.5,0,0
28.4,264.9,29,8.3,0,0
28.5,321.3,29,8.2,0,0
28.6,273.5,28.9,7.9,0,0
28.1,298.4,28.9,7.6,0,0
28.2,313,28.9,7.2,0,0
28.7,253.8,28.8,6.6,0,0
27.9,365.6,28.9,6.4,0,0
27.6,203.1,28.8,6.3,0,0
27.8,317.5,28.8,6.3,0,0
29.2,342,28.8,6.2,0,0
30.8,446.5,28.8,6,0,0
29.9,401.6,28.8,5.8,0,0
30,331.5,28.7,5.8,0,0
30.1,397.1,28.6,6,0,0
30.2,274.8,28.6,6.3,0,0
30.3,377.7,28.7,6.3,0,0
30.4,229.6,28.7,6.2,0,0
30.3,285.9,28.7,6.5,0,0
29.5,312.4,28.5,6.9,0,0
29.7,356.6,28.6,7.2,0,0
29.7,406,28.5,7,0,0
29.4,246.8,28.6,6.8,0,0
29.2,386.9,28.6,6.7,0,0
29,261.1,28.5,7,0,0
28.6,314.6,28.5,7.1,0,0
28.6,251.2,28.4,7.1,0,0
28.7,261.7,28.4,7.1,0,0
28.6,293.6,28.3,7.2,0,0
28.9,269.7,28.3,7.1,0,0
29.1,402.2,28.3,7.1,0,0
30.3,220.7,28.3,7.2,0,0
28.7,333.1,28.3,7.5,0,0
29.2,342.6,28.3,7.7,0,0
28.9,393.6,28.2,7.8,0,0
29.6,378.9,28.3,8,0,0
29.4,332.8,28.2,7.9,0,0
29.2,407,28.2,7.7,0,0
29.2,284.4,28.3,7.8,0,0
29.2,372.9,28.3,8,0,0
29.6,269.7,28.3,8.2,0,0
29.7,328.9,28.3,8.1,0,0
30.5,382.1,28.2,8.2,0,0
30,416.5,28.2,8.2,0,0
29.3,441.7,28.2,8.3,0,0
29.2,307.9,28.2,8.4,0,0
28.9,449,28.2,8.5,0,0
28.8,309.8,28.1,8.6,0,0
28.3,388.5,28.1,8.5,0,0
29.1,343.3,28.1,8.5,0,0
29,339.8,28.1,8.7,0,0
28.9,382.4,28,8.8,0,0
29.5,318.1,27.9,8.8,0,0
29.2,436.6,28,8.6,0,0
29.1,277.3,27.9,8.5,0,0
29.9,379.9,27.9,8.5,0,0
28.8,393.9,27.8,8.6,0,0
29.6,452.5,27.9,8.6,0,0
28.7,419.1,27.9,8.7,0,0
29.3,334,27.8,8.6,0,0
29.2,411.7,27.7,8.6,0,0
28.7,300.3,27.9,8.4,0,0
29.5,357.3,27.8,8.5,0,0
28.7,264.9,27.8,8.6,0,0
28.8,300.3,27.8,8.5,0,0
29.1,371.6,27.7,8.4,0,0
28.6,382.8,27.7,8.6,0,0
28.3,435,27.6,9,0,0
29.2,307.3,27.6,9.2,0,0
29.2,447.7,27.7,9.3,0,0
28.8,308.6,27.6,9.1,0,0
28.9,373.8,27.6,9,0,0
28.5,337.5,27.6,8.8,0,0
27.2,367.2,27.6,8.6,0,0
31.4,454.7,27.5,8.6,0,0
28.1,394.9,27.7,8.9,0,0
30.6,496.1,27.6,9,0,0
28.1,326.4,27.5,8.9,0,0
29.4,415.9,27.6,8.7,0,0
29.5,386.9,27.6,8.7,0,0
29.3,425.8,27.6,8.8,0,0
28.9,395.2,27.6,8.8,0,0
28.6,357.3,27.6,8.7,0,0
28.9,439.1,27.5,8.7,0,0
29.5,293.6,27.5,8.8,0,0
29.1,359.5,27.4,8.8,0,0
28.8,288.8,27.4,8.9,0,0
29.1,320.7,27.5,8.7,0,0
28.9,420,27.4,8.5,0,0
29,423.5,27.5,8.6,0,0
29.4,477,27.4,8.7,0,0
29.1,335,27.5,8.9,0,0
29.3,465.6,27.3,8.8,0,0
28.9,343.3,27.3,8.6,0,0
29.1,398.4,27.2,8.5,0,0
28.7,352.2,27.2,8.5,0,0
28.9,346.8,27.3,8.8,0,0
29.3,398.4,27.2,8.8,0,0
29.2,300.6,27.3,8.8,0,0
28.6,432.8,27.2,8.8,0,0
29,302.8,27.1,8.9,0,0
29.4,401.2,27.2,8.9,0,0
29,405.4,27,9,0,0
29.5,450.6,27.1,9,0,0
29.1,412.7,27.1,9,0,0
29.4,324.2,27.3,8.9,0,0
28.9,414.3,27.2,9.1,0,0
28.9,267.8,27.3,9.4,0,0
28.9,335.6,27.1,9.4,0,0
29.1,278.3,27,9,0,0
28.8,313.7,27.1,9,0,0
29,394.9,27,9,0,0
29,387.2,27.1,8.8,0,0
28.7,450.6,27,8.6,0,0
28.7,317.2,27.1,8.8,0,0
28.8,445.5,27.1,9,0,0
29.1,345.2,27.1,8.9,0,0
29.9,386.9,26.9,8.6,0,0
29.7,344.2,26.9,8.7,0,0
28.9,321.3,26.9,8.8,0,0
29.1,379.3,27,8.9,0,0
29.1,267.8,27,8.5,0,0
28.8,414,26.9,8.3,0,0
28.7,306.6,26.9,8.4,0,0
29.2,393.6,26.9,8.6,0,0
28.7,414,27,8.9,0,0
29.1,457.9,26.9,8.7,0,0
29.1,419.4,26.8,8.5,0,0
29.3,329.6,26.9,8.3,0,0
29.2,417.8,26.9,8.4,0,0
29.1,273.5,26.9,8.5,0,0
29.3,350.3,26.7,8.6,0,0
29.1,297.1,26.6,8.8,0,0
29.1,326.4,26.7,8.8,0,0
29,431.8,26.8,8.7,0,0
29.5,380.9,26.9,8.7,0,0
29.1,443,26.7,8.7,0,0
28.5,321.9,26.6,8.8,0,0
29.3,444.5,26.6,9,0,0
29.2,335.6,26.7,9,0,0
29.3,369.7,26.7,8.9,0,0
29.1,339.8,26.7,8.9,0,0
29,314.9,26.6,8.8,0,0
28.9,380.5,26.7,8.8,0,0
29,267.5,26.7,8.9,0,0
28.5,407.6,26.6,9,0,0
28.7,325.8,26.5,9,0,0
29.6,446.1,26.5,8.9,0,0
30.4,433.7,26.6,8.6,0,0
28.6,490.1,26.6,8.5,0,0
29.8,424.5,26.5,8.3,0,0
29.2,271.3,26.6,8.5,0,0
29,362.1,26.5,8.7,0,0
29.1,233.7,26.6,8.7,0,0
28.6,320.3,26.5,8.7,0,0
29.2,293.3,26.4,8.6,0,0
29.2,324.2,26.5,8.5,0,0
29,447.7,26.4,8.7,0,0
29.1,402.2,26.4,8.8,0,0
30,439.1,26.3,8.8,0,0
29.2,299.6,26.3,8.8,0,0
29,444.5,26.3,8.7,0,0
29,339.1,26.4,8.9,0,0
29.5,387.2,26.4,9.1,0,0
28.7,347.4,26.4,9.2,0,0
28.7,343.6,26.3,9.1,0,0
29.1,390.7,26.2,8.9,0,0
28.7,271.6,26.2,8.6,0,0
29.2,442.3,26.3,8.7,0,0
28.4,355.4,26.2,9,0,0
29.6,444.9,26.1,9,0,0
29.5,420.3,26.2,9,0,0
29.5,485.3,26.2,8.9,0,0
29.2,452.8,26.2,8.8,0,0
28.9,329.6,26.1,8.7,0,0
28.9,429.9,26.2,8.6,0,0
28.7,294.5,26.4,8.6,0,0
29.2,342.6,26.3,8.7,0,0
29.6,309.8,26.2,8.9,0,0
29.3,328.3,26.1,8.7,0,0
29.1,437.2,26.2,8.6,0,0
28.8,371.3,26.3,8.8,0,0
29.2,433.4,26.1,8.8,0,0
29.2,309.8,26,8.8,0,0
28.9,443,26,8.8,0,0
28.6,331.8,26,8.4,0,0
29.3,367.8,26.1,8.6,0,0
29.1,327.7,26.1,8.7,0,0
29,297.1,26.1,8.7,0,0
28.7,388.5,26.1,8.7,0,0
29.5,271.6,26,8.6,0,0
29.3,403.1,26.1,8.5,0,0
29.2,347.7,26.1,8.6,0,0
29.1,435.9,26,8.7,0,0
29.3,403.1,26.1,8.7,0,0
28.7,406.3,26,8.8,0,0
29,416.8,26,8.8,0,0
28.6,290.4,26,8.7,0,0
28.6,381.5,26.1,8.9,0,0
29.1,271,26.2,8.9,0,0
29.1,326.1,26,8.7,0,0
28.8,313.3,25.9,8.8,0,0
28.6,325.1,26,8.9,0,0
28.7,449,25.9,9.1,0,0
28.7,404.4,25.9,8.9,0,0
28.8,461.1,25.8,8.8,0,0
29.7,327,25.9,8.9,0,0
29,446.5,25.9,8.8,0,0
29,343.9,25.8,9,0,0
29.1,360.5,25.8,9.1,0,0
29.2,349.3,25.9,8.6,0,0
29.3,315.6,25.9,8.5,0,0
29.3,400.6,25.8,8.7,0,0
28.9,272.9,25.7,8.8,0,0
28.9,417.8,25.8,8.8,0,0
29.3,363,25.7,8.7,0,0
29.1,461.7,25.7,8.7,0,0
29.3,416.2,25.7,8.7,0,0
29.1,386.9,25.8,8.8,0,0
29.1,427.3,25.7,8.7,0,0
29,293,25.8,8.7,0,0
29.6,375.4,25.8,8.8,0,0
29,266.5,25.8,8.8,0,0
28.7,307.6,25.7,8.8,0,0
29.6,312.1,25.7,8.7,0,0
28.8,310.5,25.8,8.6,0,0
29.1,426.4,25.8,8.7,0,0
29.3,350.6,25.8,8.8,0,0
29.4,421.9,25.8,8.6,0,0
28.8,317.5,25.7,8.7,0,0
28.8,441,25.7,8.6,0,0
28.9,329.9,25.8,8.9,0,0
28.8,347.1,25.7,9,0,0
29.5,337.9,25.7,8.8,0,0
28.6,283.1,25.7,8.8,0,0
29.1,384,25.6,8.8,0,0
29,277.3,25.7,8.8,0,0
29.1,406,25.7,8.9,0,0
29.2,367.2,25.7,9,0,0
29,457.9,25.7,9,0,0
29.4,411.4,25.6,8.9,0,0
29.1,358.2,25.6,8.9,0,0
29.3,420.7,25.5,9,0,0
28.9,300,25.6,9.2,0,0
29.1,373.5,25.6,9,0,0
29.4,273.8,25.7,8.7,0,0
29.3,327.7,25.6,8.6,0,0
28.6,352.5,25.5,8.7,0,0
29.4,352.5,25.4,8.6,0,0
29,460.2,25.5,8.5,0,0
29.2,406.3,25.6,8.5,0,0
29.4,453.8,25.5,8.4,0,0
28.4,343,25.5,8.7,0,0
28.5,464.6,25.5,8.7,0,0
28.6,354.4,25.5,8.6,0,0
29.3,349,25.4,8.5,0,0
29.4,351.9,25.5,8.6,0,0
29.4,304.1,25.5,8.5,0,0
28.7,397.1,25.4,8.5,0,0
28.7,303.1,25.4,8.7,0,0
29.2,421,25.6,8.8,0,0
29.2,371.6,25.5,8.6,0,0
28.9,461.1,25.5,8.7,0,0
28.5,433.4,25.5,8.6,0,0
29.3,361.4,25.5,8.6,0,0
29,422.3,25.5,8.8,0,0
29.1,302.5,25.5,8.7,0,0
29.1,341.4,25.5,8.7,0,0
29.4,267.8,25.6,9,0,0
29.2,304.4,25.4,8.9,0,0
29.2,345.2,25.3,9,0,0
29.5,323.5,25.3,8.9,0,0
28.7,431.5,25.4,8.7,0,0
29,368.7,25.4,9,0,0
29,428,25.3,9.1,0,0
28.5,335.3,25.4,8.9,0,0
29.5,455.7,25.3,8.9,0,0
29,327.3,25.3,9,0,0
29.1,312.1,25.3,8.8,0,0
28.9,326.7,25.3,8.8,0,0
29,261.7,25.3,8.8,0,0
28.8,378.9,25.2,8.6,0,0
29,290.4,25.2,8.7,0,0
28.2,410.8,25.3,8.6,0,0
29.3,382.8,25.3,8.7,0,0
29.3,421.3,25.2,8.8,0,0
29,397.4,25.2,8.7,0,0
28.4,342.6,25.2,8.8,0,0
29.1,418.4,25.1,8.8,0,0
28.6,335.6,25.2,8.8,0,0
