VOLTAGE,CURRENT,GAS,WIRESPEED,OUTLIER,DEFECT
7.8,559.2,17.3,0,0,0
10.3,641.4,17.3,0,0,0
13.7,679.9,17.3,0,0,0
16.5,650,17.3,0,0,0
16.6,793,17.3,0,0,0
25.5,120.3,17.2,0,0,0
24.2,39.4,17.3,0,0,0
21.1,537.5,17.3,0,0,0
22.9,126.7,17.2,2.5,0,0
25.2,118.7,17.2,4,0,0
26.5,195.8,17.2,4.1,0,0
42.2,107,17.2,4.5,0,0
57.7,140.4,17.2,5.1,0,0
76.1,9.2,17.2,5.3,0,0
76.5,8.9,17.2,5.6,0,0
76.5,-9.6,17.2,6.1,0,0
76.6,-12.5,17.2,6.4,0,0
76.6,-15.3,17.2,6.5,0,0
76.7,-19.5,17.1,7.1,0,0
76.6,-11.5,17.1,7.1,0,0
76.6,-10.9,17.1,7.3,0,0
76.7,0,17.1,7.5,0,0
76.7,4.7,17.1,7.5,0,0
76.6,7.3,17.1,7.7,0,0
76.5,8.9,17,7.8,0,0
76.6,5,17,7.8,0,0
76.6,10.8,17,7.8,0,0
76.5,6,17,7.9,0,0
74.6,-16.3,17,7.8,0,0
19.3,33.1,16.9,8,0,0
9.3,617.8,16.9,7.9,0,0
13.7,857,16.9,7.8,0,0
20.7,1118.4,17,7.9,0,0
22.2,898.1,16.8,7.6,0,0
43.1,326.1,16.8,7.5,0,0
45.5,352.2,16.8,0,0,0
35.7,81.2,17,6.8,0,0
38.9,61.4,16.7,6.6,0,0
46.9,116.2,16.9,6,0,0
40.8,145.2,16.7,5.9,0,0
34,57.3,16.8,5.7,0,0
40.9,-60.2,16.8,5.6,0,0
36.7,152.8,16.6,5.9,0,0
39.4,106.3,16.6,6.2,0,0
34.8,128.9,16.7,6.2,0,0
34.6,126.4,16.7,6.4,0,0
34.7,72.9,16.6,7,0,0
34.5,12.1,16.6,7.3,0,0
34.2,150,16.6,7.5,0,0
34.1,13.6,16.7,7.8,0,0
34.3,283.1,16.6,7.9,0,0
34.7,280.9,16.6,8.1,0,0
34.9,369.4,16.6,8.2,0,0
34.8,389.5,16.6,8.3,0,0
34.5,384.7,16.6,8.3,0,0
34.8,420,16.6,8.4,0,0
35.6,424.2,16.5,8.3,0,0
35.7,430.9,16.5,8.5,0,0
34.9,390.4,16.5,8.4,0,0
35.1,418.4,16.5,8.7,0,0
35.3,411.1,16.5,8.7,0,0
35.6,447.7,16.5,8.7,0,0
35.5,435.6,16.5,8.6,0,0
35.2,417.8,16.5,8.7,0,0
35.2,400.3,16.4,8.7,0,0
35.9,585.6,16.6,8.6,0,0
35.9,543.9,16.4,8.8,0,0
34.9,384.4,16.3,8.8,0,0
35.4,340.4,16.2,9,0,0
34.7,333.7,16.3,9,0,0
35,316.8,16.3,9,0,0
35.4,301.6,16.2,8.9,0,0
36.3,310.8,16.2,8.7,0,0
34.6,363,16.2,9,0,0
35,358.9,16.2,8.8,0,0
35.6,406,16.2,8.9,0,0
34.9,372.3,16.2,9,0,0
36.2,357,16.1,8.8,0,0
34.3,388.8,16.1,8.9,0,0
34.9,405.7,16.1,8.7,0,0
34.8,403.8,16.1,8.7,0,0
36.4,377,16.1,8.7,0,0
35,366.2,16.1,8.7,0,0
34.6,392,16,8.7,0,0
35.4,419.7,16,8.7,0,0
34.9,385.9,16.1,8.6,0,0
35.2,385.3,16,8.6,0,0
34.8,420.7,16,8.7,0,0
34.1,435.9,16.1,8.5,0,0
35.1,455.1,16,8.6,0,0
35.6,364,16,8.5,0,0
34.9,403.5,15.9,8.6,0,0
36.1,448.4,16,8.5,0,0
34.1,362.4,15.9,8.5,0,0
34.4,356.6,15.9,8.5,0,0
35.3,406.6,15.9,8.5,0,0
35.5,386.6,15.9,8.5,0,0
34.6,376.4,15.9,8.4,0,0
35.5,384.7,15.9,8.5,0,0
35.2,369.1,15.8,8.5,0,0
34.6,382.1,15.8,8.5,0,0
35.5,366.8,15.8,8.5,0,0
35.7,374.2,15.7,8.4,0,0
35.4,344.5,15.7,8.5,0,0
34.1,353.8,15.7,8.4,0,0
34.8,354.4,15.7,8.6,0,0
34.1,363.3,15.7,8.4,0,0
35.6,392.3,15.6,8.4,0,0
34.6,387.2,15.7,8.5,0,0
35.1,410.8,15.5,8.5,0,0
