VOLTAGE,CURRENT,GAS,WIRESPEED,OUTLIER,DEFECT
21.9,230.8,31.7,0,0,0
22.5,244.2,31.9,0,0,0
23.5,202.8,31.8,0,0,0
23.3,151.2,31.7,0,0,0
24.6,206.6,31.7,0,0,0
24.8,199,31.5,0,0,0
24.2,211.7,31.7,1.6,0,0
25,315.6,31.6,2.6,0,0
28.3,357.6,31.6,3,0,0
30.8,412.1,31.5,3.3,0,0
32.3,446.1,31.5,3.7,0,0
33.2,468.8,31.5,3.9,0,0
34.2,407.9,31.5,3.8,0,0
35.3,470,31.5,3.9,0,0
34.8,406,31.4,4,0,0
35.3,444.2,31.4,4.2,0,0
35,371.9,31.4,0,0,0
35.3,348.4,31.4,4.5,0,0
35,472.9,31.3,0,0,0
34.3,349.3,31.3,0,0,0
35.6,287.2,31.2,4.3,0,0
35.6,343.9,31.3,4.6,0,0
36.6,202.8,31.3,5.2,0,0
35.2,265.9,31.2,6.1,0,0
34.6,228,31,6.6,0,0
34.7,165.9,31,7.3,0,0
33.7,382.1,31,7.5,0,0
33.2,287.2,31,7.6,0,0
33.7,319.7,31.2,8,0,0
34.6,364,31.2,7.9,0,0
34.8,356.6,31.3,7.9,0,0
35.1,415.2,31.2,8,0,0
34.4,392,31.2,8,0,0
35.6,381.8,31.1,8.1,0,0
35,434.4,31,8.2,0,0
34.9,363.3,31,8.1,0,0
35.3,412.7,31.1,7.8,0,0
35.4,344.5,31,6.9,0,0
35.3,381.8,31.1,6.3,0,0
35.1,395.8,30.9,6.7,0,0
35,305.7,30.8,7.2,0,0
34.7,385.9,30.9,7.7,0,0
35.1,396.8,31.2,7.8,0,0
34.7,311.1,31.2,8,0,0
34.6,396.1,31.2,7.9,0,0
34.7,340.1,31.3,8.1,0,0
34.7,410.5,31.2,8.2,0,0
35.9,457.9,31.2,8.4,0,0
34.4,369.7,31.2,8.2,0,0
35.3,387.2,31,8.2,0,0
34.8,384.7,31.1,8.4,0,0
34.3,366.5,31.1,8.3,0,0
34.6,428.6,31.1,8.3,0,0
34.7,391.4,31.1,8.3,0,0
34.9,412.1,31,8.5,0,0
34.8,419.7,31,8.4,0,0
35.4,367.5,30.9,8.5,0,0
34.9,429.6,31,8.4,0,0
35.4,368.4,31,8.4,0,0
34.7,419.7,30.9,8.2,0,0
34.5,374.2,31.1,8.2,0,0
34.5,380.5,30.9,8.4,0,0
34.1,472.9,30.9,8.3,0,0
34.4,405.4,30.9,8.5,0,0
34.2,368.4,30.8,8.5,0,0
33.9,417.5,30.7,8.5,0,0
33.9,352.2,30.7,8.7,0,0
32.9,371,30.9,8.8,0,0
31.2,280.9,30.8,8.6,0,0
29.8,298.4,30.7,8.6,0,0
30,391.7,30.7,8.5,0,0
29.5,337.5,30.6,8.4,0,0
29.3,405.1,30.7,8.3,0,0
30,361.7,30.6,8,0,0
30,300,30.6,7.6,0,0
29.9,334,30.7,7.2,0,0
29.8,307.9,30.7,6.9,0,0
30.2,280.2,30.5,6.9,0,0
30.3,318.4,30.5,6.7,0,0
29.8,280.2,30.4,6.8,0,0
29.6,296.8,30.5,6.7,0,0
29,267.5,30.4,6.7,0,0
28.8,277.7,30.5,6.8,0,0
28.9,282.1,30.5,6.7,0,0
29,346.5,30.4,6.6,0,0
28.2,346.1,30.3,6.6,0,0
28.1,329.3,30.3,6.5,0,0
28.4,315.9,30.5,6.4,0,0
29.3,318.1,30.5,6.3,0,0
28.9,264.6,30.4,6.5,0,0
28.7,268.1,30.3,7.1,0,0
28.2,253.5,30.4,7.3,0,0
29.2,329.9,30.4,7,0,0
29.1,430.9,30.5,6.8,0,0
30.3,338.8,30.3,7,0,0
28.7,340.7,30.3,7,0,0
28.2,352.2,30.2,6.8,0,0
28.9,299.6,30.3,6.9,0,0
28.8,306.6,30.2,7.2,0,0
28.5,314.6,30.3,7.1,0,0
29.5,315.2,30.2,7.3,0,0
29.1,371.3,30.1,7.7,0,0
30.2,336.9,30.2,7.4,0,0
29.7,355.7,30.2,7.1,0,0
29.4,313,30,7,0,0
28,378.3,30,7.3,0,0
28.7,362.7,30,7.2,0,0
29.1,393.3,30,7.4,0,0
27.9,404.7,30.1,7.8,0,0
28.9,385.9,29.9,7.8,0,0
29.1,322.6,30,7.6,0,0
29.2,305.7,29.9,8,0,0
28.5,313,30,8,0,0
28.7,343,30,8,0,0
29,392.6,29.8,8.1,0,0
28.3,371.6,29.9,8.4,0,0
29.1,453.8,30,8.7,0,0
28.8,386.6,29.8,8.5,0,0
29,328.6,29.7,8.3,0,0
28.4,350,29.7,8.2,0,0
28,339.1,29.9,8.3,0,0
29.3,327.3,29.7,8.4,0,0
29.1,323.8,29.7,8.3,0,0
28.9,314.6,29.7,7.8,0,0
28.8,326.4,29.9,7.4,0,0
28.4,310.2,29.7,7.7,0,0
28.6,351.2,29.8,8,0,0
28.9,353.5,30,8.3,0,0
29.1,408.6,29.8,8.4,0,0
28.7,426.4,29.8,8.4,0,0
28.7,393.3,29.8,8.5,0,0
28.1,368.4,30,8.5,0,0
29.9,425.8,30.1,8.6,0,0
29,335,29.9,8.5,0,0
26.3,404.1,29.9,8.7,0,0
30,421.3,29.9,8.8,0,0
28.4,439.5,29.9,8.8,0,0
30.2,514.6,29.8,8.6,0,0
28.9,354.7,29.7,8.7,0,0
28.5,355.1,29.6,8.7,0,0
28.6,401.6,29.6,8.7,0,0
28.7,315.2,29.7,8.7,0,0
28.5,350,29.7,8.8,0,0
29.2,352.2,29.6,8.7,0,0
28.6,351.6,29.6,8.9,0,0
28.9,372.6,29.5,8.8,0,0
28.4,322.3,29.5,8.7,0,0
28.8,361.7,29.5,8.9,0,0
28.4,373.5,29.6,8.8,0,0
28.7,415.9,29.5,8.8,0,0
28.8,425.4,29.3,8.8,0,0
29.1,438.8,29.5,8.7,0,0
28.6,445.2,29.5,8.7,0,0
28.9,411.4,29.3,8.6,0,0
28,351.6,29.2,8.7,0,0
28.5,335.9,29.3,8.6,0,0
29.2,358.6,29.4,8.6,0,0
28.8,365.9,29.4,8.6,0,0
29,391.4,29.2,8.6,0,0
29.2,366.8,29.3,8.6,0,0
29,471,29.3,8.6,0,0
29,380.2,29.4,8.6,0,0
28.9,329.6,29.3,8.5,0,0
28.8,363.3,29.4,8.5,0,0
28.7,343.9,29.4,8.4,0,0
28.9,334.4,29.3,8.4,0,0
28.8,323.8,29.4,8.5,0,0
28.9,321,29.2,8.5,0,0
28.8,344.5,29.4,8.4,0,0
28.8,313.3,29.3,8.3,0,0
28.7,356,29.3,8.1,0,0
28.9,338.8,29.4,7.7,0,0
28.9,411.7,29.3,7.8,0,0
28.6,409.5,29.3,7.7,0,0
28.7,387.9,29.2,7.5,0,0
29,330.2,29.3,7.5,0,0
28.6,321.6,29.4,7.7,0,0
28.7,299,29.3,7.3,0,0
29,281.5,29.2,6.7,0,0
28.5,274.2,29.3,6.8,0,0
29.2,330.2,29.1,6.8,0,0
28.6,412.7,29.1,6.4,0,0
28.8,336.9,29.1,6.4,0,0
28.8,378,29.1,6.4,0,0
28.6,360.8,29,6.1,0,0
28.4,295.8,29,6.5,0,0
28.9,307.3,29,6.8,0,0
28.5,281.2,29,6.5,0,0
28.8,287.9,29,6.8,0,0
28.4,312.1,29,7.2,0,0
28.7,291.4,29.1,7.1,0,0
28.7,314.3,28.9,7.3,0,0
28.5,304.1,28.9,7.8,0,0
28.4,380.5,28.9,7.7,0,0
28.4,379.3,28.8,7.6,0,0
28.7,390.1,28.9,7.8,0,0
28.9,377,28.9,8.1,0,0
28.6,381.5,28.7,8.1,0,0
29.4,310.8,28.8,8.2,0,0
29,291,28.8,8.3,0,0
28.7,306.3,28.9,8.3,0,0
28.5,334,28.8,8.5,0,0
28.2,355.4,28.9,8.5,0,0
29.1,362.4,29,8.3,0,0
29.5,487.9,28.9,7.3,0,0
28.9,375.1,28.8,7.1,0,0
28.6,327.7,28.8,7.4,0,0
28.8,364,28.8,7.8,0,0
28.5,335,28.8,8.1,0,0
28.6,321,28.8,8.3,0,0
28.6,327.7,28.9,8.4,0,0
28.5,350.9,28.8,8.5,0,0
29,364.9,28.8,8.6,0,0
28.8,321,28.7,8.6,0,0
28.8,365.2,28.8,8.5,0,0
28.6,358.6,28.8,8.6,0,0
28.7,412.7,28.6,8.6,0,0
29.1,445.8,28.8,8.6,0,0
27.9,442.6,28.7,8.5,0,0
26.9,430.9,28.7,8.5,0,0
28.5,481.2,28.8,8.8,0,0
30.1,379.3,28.6,8.8,0,0
30,298.4,28.5,8.6,0,0
29.2,283.1,28.7,8.7,0,0
28.8,334.4,28.5,8.7,0,0
28.7,460.2,28.6,8.7,0,0
28.8,364,28.5,8.7,0,0
29,427.7,28.5,8.6,0,0
28.9,410.8,28.5,8.7,0,0
28.8,309.2,28.5,8.7,0,0
28.9,344.2,28.5,8.7,0,0
28.5,338.2,28.5,8.6,0,0
28.5,337.9,28.5,8.7,0,0
28.7,341.7,28.4,8.6,0,0
28.6,338.5,28.4,8.5,0,0
28.7,372.9,28.4,8.5,0,0
28.6,344.2,28.4,8.4,0,0
29,392,28.5,8.4,0,0
28.9,417.2,28.3,8.5,0,0
29,424.5,28.5,8.4,0,0
28.7,391.7,28.5,8.3,0,0
28.4,403.5,28.5,8.2,0,0
29.1,341.4,28.4,8.1,0,0
29.3,292.6,28.5,8,0,0
28.8,318.1,28.5,8.1,0,0
28.7,333.1,28.5,7.9,0,0
28.8,339.4,28.3,8,0,0
29.4,357.3,28.5,8.2,0,0
29.2,557.6,28.5,8,0,0
28.5,365.2,28.3,7.5,0,0
28.8,325.4,28.3,7.4,0,0
28.8,375.1,28.3,7,0,0
28.6,319.7,28.4,6.8,0,0
28.5,297.1,28.4,7,0,0
29,284.4,28.4,6.9,0,0
28.5,296.8,28.3,6.3,0,0
29.1,319.7,28.3,6.3,0,0
28.8,270,28.2,6.8,0,0
29,321.3,28.2,6.5,0,0
28.6,285.9,28.4,6.1,0,0
28.9,364.6,28.3,0,0,0
28.7,353.1,28.2,5.7,0,0
28.5,353.8,28.3,5.3,0,0
28.4,270.3,28.3,5.5,0,0
28.8,256.6,28.4,5.4,0,0
28.7,256.3,28.2,5.4,0,0
28.1,225.1,28.1,5.6,0,0
28.9,221.9,28.2,5.8,0,0
28.3,284.4,28.1,5.6,0,0
29.1,403.5,28.1,5.8,0,0
28,293.3,28.2,6.1,0,0
28.7,353.1,28.2,6.4,0,0
28.9,333.1,28.1,6.5,0,0
28.3,263.3,28.2,6.9,0,0
28.3,284.4,28.2,7.2,0,0
28.1,310.5,28.2,7,0,0
28.8,304.7,28.1,7.4,0,0
29.2,312.7,28.1,7.4,0,0
28.7,279.9,28.1,7.2,0,0
28.7,321.3,28.1,7.6,0,0
