VOLTAGE,CURRENT,GAS,WIRESPEED,OUTLIER,DEFECT
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
29.9,419.1,11.9,8.9,0,0
30,353.5,11.8,9,0,0
30.3,350.9,11.9,9,0,0
29.8,394.5,11.8,9.1,0,0
29.5,455.7,12.1,9,0,0
29.3,421.3,11.8,8.9,0,0
29.6,369.4,11.8,8.8,0,0
29.3,444.9,11.7,9,0,0
29.9,338.5,11.8,8.7,0,0
29.3,544.9,11.8,8.9,0,0
29.5,373.5,11.8,8.9,0,0
29.8,264.6,11.8,9,0,0
29.8,420,11.8,9.1,0,0
30.3,243,11.8,8.9,0,0
29.2,378,11.7,8.7,0,0
29.9,293.6,11.8,8.6,1,1
29,362.7,11.7,8.6,1,1
29.4,434.4,11.7,8.7,1,1
29.5,368.7,11.7,8.6,1,1
29.6,502.2,11.7,8.8,1,1
29.5,334,11.7,8.8,1,1
29.8,393.3,11.6,8.8,1,1
29.1,373.5,11.7,8.8,0,1
29.7,404.1,11.6,8.8,1,1
30.1,338.2,11.6,8.8,1,1
29.5,330.9,11.6,8.8,1,1
29.6,422.3,11.7,8.9,1,1
29.1,518.8,11.8,8.7,1,1
29.3,407.9,11.7,8.8,1,1
29.2,334,11.6,8.7,1,1
29.7,501.2,11.6,8.7,1,1
29.5,347.4,11.6,8.7,1,1
29.8,420.3,11.6,8.8,1,1
29.5,376.4,11.6,8.7,1,1
29.9,236.9,11.6,8.8,1,1
29.5,386.6,11.6,8.7,1,1
28.9,285.6,11.7,8.8,1,1
29.5,390.4,11.6,8.7,1,1
29.5,362.4,11.6,8.7,1,1
29.4,330.5,11.6,8.7,1,1
29.7,478.3,11.6,8.8,1,1
29.7,334.4,11.6,8.8,1,1
28.6,519.7,11.6,8.6,1,1
29.8,314.3,11.6,8.7,1,1
29.9,366.5,11.6,8.7,1,1
29.5,315.9,11.7,8.7,1,1
29.1,336.6,11.6,8.7,1,1
29.7,322.6,11.6,8.7,1,1
29.4,356,11.4,8.7,1,1
29.6,408.6,11.6,8.6,1,1
29.6,487.9,11.5,8.8,1,1
29.4,381.2,11.6,8.7,1,1
29.2,312.1,11.5,8.8,1,1
29.4,504.4,11.6,8.8,1,1
29.5,344.2,11.5,8.8,1,1
29.7,359.5,11.5,8.8,1,1
29.1,361.4,11.5,8.8,1,1
29.6,208.2,11.5,8.8,1,1
29,403.5,11.5,8.8,1,1
29.5,314.6,11.5,8.9,1,1
29.7,361.7,11.5,9,1,1
30.1,325.1,11.4,8.8,1,1
29.8,343,11.5,8.9,1,1
29.5,467.8,11.5,8.9,1,1
29.6,341.4,11.5,8.8,1,1
29.5,399.3,11.4,8.9,1,1
29.7,339.8,11.4,8.8,1,1
29.1,397.1,11.4,8.9,1,1
30.1,329.9,11.5,8.9,1,1
29.2,327,11.5,8.8,1,1
28.4,403.1,11.4,8.9,1,1
29.6,419.1,11.4,8.8,1,1
29.9,423.8,11.5,8.9,1,1
30.1,406,11.5,8.9,1,1
30.1,376.1,11.5,8.9,1,1
29.6,231.5,11.5,8.8,1,1
29.4,434.7,11.6,8.9,1,1
29.5,328.9,11.5,8.8,1,1
29.1,302.2,11.5,8.8,1,1
29.3,405.4,11.4,8.8,1,1
29.7,236.9,11.4,8.8,1,1
29.5,420.7,11.5,8.8,1,1
29.1,296.8,11.4,8.7,1,1
29.3,342,11.4,8.8,1,1
29.9,362.7,11.4,8.7,1,1
29.3,346.8,11.4,8.8,1,1
30.6,474.8,11.4,8.8,1,1
32.2,328,11.4,8.8,1,1
32.9,471.6,11.4,8.7,1,1
30.5,341.4,11.3,8.8,1,1
30.3,343,11.3,8.9,1,1
29.2,264.6,11.4,8.9,1,1
28.7,285,11.5,8.9,1,1
29,369.7,11.4,8.7,1,1
29.2,498.1,11.8,8.8,1,1
29.5,422.6,11.4,8.7,1,1
29.9,367.8,11.4,8.8,1,1
29.8,423.5,11.3,8.8,1,1
29.3,324.2,11.4,8.8,1,1
29.7,497.1,11.4,8.8,1,1
29.8,363.3,11.4,8.7,1,1
29.7,293.3,11.3,8.8,1,1
29.2,442.6,11.3,8.8,1,1
29.2,336.3,11.3,8.7,1,1
29.7,463,11.4,8.7,1,1
29.6,315.9,11.3,8.7,1,1
29.8,338.8,11.3,8.8,1,1
29.9,406.6,11.3,8.7,1,1
29.3,352.2,11.4,8.7,1,1
29.8,422.3,11.4,8.6,1,1
29,316.8,11.4,8.6,1,1
30,382.1,11.4,8.6,1,1
29.5,336.3,11.5,8.6,1,1
29.5,387.5,11.4,8.6,1,1
29.6,328.6,11.4,8.7,1,1
29.2,338.2,11.3,8.6,1,1
30,416.5,11.4,8.7,1,1
29.8,522.3,11.5,8.7,1,1
29.2,391.4,11.4,8.7,1,1
29.6,284,11.3,8.8,1,1
29.9,429.6,11.2,8.7,1,1
29.1,294.2,11.3,8.9,1,1
29.1,373.2,11.3,8.8,1,1
29.9,351.9,11.3,8.9,1,1
29.7,261.1,11.3,8.8,1,1
29.3,476.1,11.3,8.9,1,1
29.5,271.6,11.3,8.9,1,1
29.4,422.3,11.3,8.8,1,1
29.5,297.4,11.2,8.8,1,1
29.5,339.8,11.2,8.9,1,1
29.4,453.8,11.2,8.9,1,1
29.4,352.8,11.3,8.8,1,1
29.9,427.7,11.3,8.8,1,1
29.9,309.5,11.2,8.8,1,1
29.8,394.9,11.2,8.9,1,1
29.5,341.4,11.5,8.8,1,1
29.2,377.3,11.2,8.8,1,1
29.8,358.6,11.2,8.9,1,1
29.4,382.8,11.1,9,1,1
29.7,413.3,11.2,8.6,1,1
29.6,433.1,11.2,8.8,1,1
29.5,434.4,11.2,8.8,1,1
28.9,330.9,11.1,8.7,1,1
30.3,490.1,11.2,8.9,1,1
30,160.8,11.2,8.7,1,1
29.3,390.7,11.2,8.7,1,1
29.2,380.2,11.2,8.7,1,1
29.5,245.5,11.2,8.7,1,1
29.7,583.4,11.3,8.7,1,1
29.4,385.6,11.3,8.7,1,1
29.9,447.1,11.2,8.7,1,1
29.3,311.1,11.2,8.8,1,1
29.4,244.9,11.2,8.8,1,1
30,489.1,11.3,8.8,1,1
29.4,239.8,11.3,9,1,1
29.7,397.1,11.2,8.9,1,1
30,351.2,11.2,8.7,1,1
29.6,380.5,11.2,8.8,1,1
29.2,311.1,11.2,8.7,1,1
30.1,338.5,11.3,8.7,1,1
29,367.2,11.2,8.8,1,1
29.2,421,11.2,8.8,1,1
29.3,421,11.2,8.8,1,1
29.4,350.9,11.2,8.8,1,1
29.9,410.5,11.2,8.8,1,1
30.1,251.2,11.1,8.9,1,1
30.4,454.4,11.3,8.7,1,1
29.4,304.4,11.2,8.8,1,1
30.2,292.3,11.2,8.8,1,1
29.7,369.7,11.1,8.8,1,1
