VOLTAGE,CURRENT,GAS,WIRESPEED
19.8,301.2,32.8,0.0
20.2,291.7,32.7,0.0
22.6,287.9,32.7,0.0
23.7,274.2,32.7,0.0
23.6,209.2,32.7,0.0
24.2,300.9,32.7,0.0
26.1,241.7,32.9,0.0
25.5,294.2,32.7,2.4
27.6,284.7,32.8,0.0
29.5,478.0,32.7,3.3
27.0,598.7,32.6,3.8
35.8,617.8,32.6,4.3
35.8,509.8,32.6,4.6
35.6,376.7,32.6,5.0
35.9,568.1,32.6,5.5
36.3,348.4,32.6,5.8
36.0,497.7,32.6,6.1
34.6,341.7,32.5,6.7
40.3,382.4,32.6,7.1
33.9,215.9,32.6,7.1
36.4,118.1,32.5,7.3
34.6,259.2,32.4,7.7
34.9,199.6,32.4,8.0
38.3,217.5,32.4,8.1
35.4,235.6,32.4,8.2
35.6,373.2,32.4,8.2
35.0,229.9,32.4,8.3
35.2,338.5,32.5,8.5
35.0,407.6,32.3,8.7
34.9,225.4,32.4,8.5
35.2,483.4,32.4,8.6
35.0,280.2,32.4,8.6
35.4,506.3,32.3,8.8
35.8,360.8,32.2,8.9
35.6,400.3,32.2,9.0
35.4,536.3,32.4,9.2
35.5,258.2,32.1,9.2
35.3,485.9,32.2,8.9
35.1,341.7,32.2,9.0
36.0,460.2,32.1,9.0
35.1,354.1,32.1,8.9
35.0,365.2,32.2,8.9
35.3,423.5,32.0,8.9
35.1,329.6,32.0,8.7
34.9,404.7,32.0,8.7
36.0,369.1,32.0,8.8
35.5,372.9,32.1,8.8
34.5,312.4,32.2,8.8
35.2,507.9,32.2,8.9
34.7,357.0,31.7,8.9
35.1,312.7,31.9,8.8
35.3,462.1,31.9,8.8
34.1,262.4,31.7,8.8
34.7,463.0,31.8,8.6
35.9,296.5,31.8,8.6
36.1,436.3,31.8,8.7
31.5,253.8,31.7,8.5
29.1,101.9,31.6,8.5
27.5,237.9,31.5,8.7
26.9,121.9,31.6,8.7
26.6,315.9,31.6,8.6
26.5,249.3,31.5,8.6
26.2,296.5,31.6,8.1
26.6,285.6,31.6,7.7
27.8,297.4,31.6,7.4
28.9,340.4,31.4,0.0
29.3,247.4,31.4,6.5
29.1,322.3,31.4,6.4
29.1,187.2,31.5,6.1
28.7,271.9,31.5,6.2
29.5,379.3,31.4,6.2
30.4,429.6,31.3,6.3
31.1,489.1,31.2,6.2
30.4,347.1,31.2,6.3
30.5,446.1,31.3,6.4
29.4,224.5,31.2,6.4
29.7,293.3,31.1,6.7
29.8,251.6,31.3,6.7
30.3,212.4,31.4,6.6
29.9,350.0,31.3,6.6
30.4,189.8,31.2,6.7
29.6,398.7,31.3,6.8
29.4,249.0,31.4,6.8
28.3,365.9,31.2,6.8
29.8,347.4,31.2,7.0
30.0,320.7,31.2,7.0
29.3,338.8,31.1,7.0
29.4,233.4,31.1,7.0
29.7,315.2,31.1,7.0
28.7,198.7,31.0,7.2
28.9,248.4,31.1,7.4
28.3,249.3,30.9,7.3
29.0,329.6,31.0,7.4
29.3,388.2,30.8,7.2
28.8,310.2,30.6,7.3
28.0,389.5,30.7,7.4
28.7,278.6,30.7,7.5
27.7,306.0,30.7,7.5
28.1,218.1,30.8,7.4
28.7,263.7,30.8,7.4
29.2,342.0,30.8,7.4
29.8,243.3,30.6,7.3
28.5,381.5,30.5,7.5
28.3,299.0,30.5,7.7
28.6,416.8,30.6,7.9
28.6,363.3,30.8,8.1
29.5,396.8,30.8,8.3
29.1,398.0,30.8,8.5
29.1,335.9,30.7,8.7
28.6,384.4,30.7,8.7
28.9,278.9,30.8,8.8
28.8,338.2,30.7,8.8
29.1,362.4,30.6,8.7
28.7,411.4,30.6,8.8
29.0,371.0,30.5,8.9
29.0,327.0,30.6,8.8
29.1,467.8,30.6,8.9
29.1,404.4,30.7,8.8
28.7,405.1,30.6,8.9
28.8,322.3,30.5,8.8
28.4,353.8,30.4,9.0
28.7,343.3,30.4,9.0
29.3,258.6,30.5,8.8
28.7,361.1,30.4,8.8
28.7,286.9,30.4,8.9
28.6,385.0,30.4,8.8
29.1,339.4,30.4,8.9
28.8,417.2,30.4,8.8
29.1,339.4,30.3,8.8
28.6,331.2,30.1,8.8
28.9,389.5,30.3,8.8
28.6,283.7,30.2,8.8
28.6,348.7,30.3,8.9
28.8,360.8,30.3,9.0
28.8,419.1,30.1,8.9
28.7,344.9,30.2,8.8
28.8,338.8,30.2,8.9
29.6,374.2,30.3,8.9
28.9,277.0,30.3,8.9
28.4,391.4,30.2,8.8
28.9,390.7,30.2,8.9
28.6,395.5,30.1,8.9
28.6,350.9,30.3,9.0
28.7,369.1,30.3,8.9
29.1,407.0,30.4,8.9
29.3,319.7,30.3,8.8
29.0,375.8,30.3,8.8
28.9,350.0,30.1,9.0
28.9,446.5,30.1,8.9
28.4,348.7,30.2,8.8
28.6,409.2,30.1,8.8
28.5,393.0,30.1,8.8
29.4,325.4,30.1,8.8
28.7,388.5,30.0,8.9
28.7,395.2,29.9,8.8
29.1,434.7,29.9,8.8
28.5,410.5,29.8,8.8
29.1,397.7,29.9,8.9
29.0,353.1,29.8,8.8
28.7,288.2,29.9,8.8
29.1,359.2,29.7,8.8
28.8,342.6,29.7,8.8
28.7,360.5,29.8,8.8
29.5,380.9,29.9,8.9
28.7,362.1,29.8,8.8
28.7,332.4,29.8,8.7
28.5,310.5,29.8,8.8
29.0,292.6,29.7,8.7
28.1,289.4,29.8,8.9
28.6,330.5,29.9,8.9
