VOLTAGE,CURRENT,GAS,WIRESPEED,OUTLIER,DEFECT
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
28.7,329.6,26.6,7.4,0,0
29.1,323.8,26.6,7.4,0,0
28.8,280.2,26.7,6.8,0,0
28.3,272.6,26.6,5.9,0,0
28.8,208.9,26.7,5.9,0,0
29.3,254.1,26.5,6.5,0,0
28.8,325.4,26.5,6.6,0,0
28.4,249.6,26.7,6.7,0,0
28.2,338.5,26.6,6,0,0
28.3,346.5,26.7,5.4,0,0
29.2,362.1,26.6,5,1,1
28.8,264.6,26.7,0,1,1
28.3,285,26.7,5.2,1,1
28.9,240.7,26.6,5.3,1,1
28.5,169.1,26.7,5.8,1,1
28.8,223.5,26.5,5.6,1,1
28.5,219.4,26.5,5.1,1,1
28.9,252.8,26.7,5,1,1
28.6,238.2,26.6,5.2,1,1
28.4,348,26.7,5.3,1,1
28.7,305.4,26.5,5.6,1,1
28.3,263.7,26.4,6,1,1
28,311.1,26.5,0,1,1
28.3,285.6,26.5,6,1,1
27.6,285,26.6,6.2,1,1
29.3,269.4,26.5,5.8,1,1
28.8,302.2,26.5,5.5,1,1
29.3,281.8,26.4,5.5,1,1
28.5,251.2,26.4,5.9,1,1
28.6,382.1,26.5,5.8,1,1
28.6,323.8,26.3,6,1,1
28.8,373.2,26.3,6.3,1,1
28.4,350.9,26.4,6.2,1,1
28.6,422.3,26.4,7.1,1,1
28.6,291,26.4,7.5,1,1
29.3,304.4,26.3,0,1,1
28.9,283.7,26.4,6.2,1,1
28.6,203.1,26.3,5.6,1,1
29,263,26.4,5.9,1,1
28.5,286.9,26.4,6.9,1,1
28.7,380.5,26.4,7.4,1,1
28.6,316.2,26.4,7.7,1,1
28.4,362.1,26.4,7.8,1,1
28.3,406.6,26.5,8.3,0,1
28.2,309.8,26.3,8.4,0,1
28.2,323.5,26.4,8,1,1
28.5,326.7,26.4,8,1,1
28.6,314.6,26.4,8.5,0,1
28.8,254.4,26.5,8.6,0,1
28.6,321.3,26.4,8.5,0,1
28.7,387.5,26.4,8.5,0,1
29.1,314.6,26.5,8.7,0,1
29,432.1,26.3,8.7,0,1
29,447.1,26.5,8.7,0,1
28.8,439.8,26.4,8.7,0,1
28.8,343.3,26.4,8.7,0,1
28.6,400.3,26.4,8.6,0,1
28.9,334.7,26.3,8.5,0,1
29.1,297.7,26.4,8.5,0,1
26.8,361.1,26.3,8.6,0,1
29.1,287.2,26.2,8.6,0,1
29.4,361.4,26.2,8.5,0,1
28.5,354.7,26.2,8.6,0,1
29.2,479.6,26.3,8.5,0,1
28.3,413.7,26.2,8.6,0,1
28.6,400.6,26.2,8.5,0,1
29.2,457.3,26.2,8.6,0,1
28.8,378.6,26.2,8.6,0,1
29.1,363.7,26.3,8.4,0,1
28.7,323.5,26.3,8.4,0,1
28.9,351.6,26.3,8.3,0,1
28.7,327.7,26.3,8.3,0,1
29.2,313,26.3,8.3,0,1
29,424.2,26.3,8.1,1,1
29,388.5,26.2,7.6,1,1
28.9,399.6,26.3,7.4,1,1
28.9,373.2,26.4,7.4,1,1
28.6,397.4,26.4,6.8,1,1
28.7,286.6,26.3,6.7,1,1
28.4,293.9,26.2,6.8,1,1
28.8,293.3,26.3,6.7,1,1
28.8,211.1,26.2,6.8,1,1
28.6,288.2,26.2,6.5,1,1
28.8,277.3,26.2,0,1,1
28.5,353.1,26.2,5.7,1,1
28.2,300.6,26.3,5.7,1,1
29.2,331.8,26.3,5.8,1,1
28.5,354.4,26.4,5.7,1,1
28.4,260.5,26.3,6,1,1
28.1,264.3,26.4,5.8,1,1
28.9,230.2,26.4,5.4,1,1
29.2,238.8,26.3,5.5,1,1
28.6,181.2,26.3,0,1,1
28.9,218.1,26.3,5.4,1,1
28.8,347.1,26.1,0,1,1
28.6,222.9,26.2,5,1,1
28.4,309.2,26.3,0,1,1
28.9,317.5,26.3,0,1,1
28.5,344.2,26.2,4.1,1,1
28.9,219.4,26.2,0,1,1
29.1,264.3,26.2,0,1,1
28.6,173.2,26.1,0,1,1
29.1,102.8,26.2,4.2,1,1
28.8,146.1,26.1,4.9,1,1
27.9,154.4,26.1,5.6,1,1
28.4,220.3,26.1,6.2,1,1
28.1,243,26.1,6,1,1
27.6,369.7,26,5.9,1,1
28.9,342.6,26,6,1,1
28.3,306.6,26.1,5.4,1,1
28.6,348.7,26.1,5.6,1,1
29,261.7,26.1,5.9,1,1
28.7,278,26,6.1,1,1
28.8,222.6,26.3,6.6,1,1
28.9,277,26.1,7.1,1,1
28.5,266.5,26,7,1,1
28.8,237.5,26.1,0,1,1
29.6,342.3,26.1,5.6,1,1
28.9,307.3,26,0,1,1
28.8,317.5,26.1,4.9,1,1
28.3,287.2,26.1,6.4,1,1
28.9,350.6,26,6.9,1,1
28.4,236.6,26,6.9,1,1
28.7,235.3,26.1,7.3,1,1
28.3,255.1,26.2,7.7,1,1
28,193,26,7.9,1,1
28.1,316.8,26.1,8,1,1
28.9,322.9,26,8.1,0,1
28.7,417.5,26,8.3,0,1
28.7,371.6,26.1,8.6,0,1
29.2,435.6,26.1,8.6,0,1
28.9,445.5,26.1,8.5,0,1
28.9,338.2,26,8.6,0,1
28.6,367.8,26,8.6,0,1
28.7,327,26,8.8,0,1
28.9,347.4,26,8.9,0,1
28.5,287.2,26,8.9,0,1
28.9,344.2,26,9.1,0,1
29.1,410.8,26,8.9,0,1
28.9,330.2,26,8.8,0,1
29,442,26,9.2,0,1
28.8,449.6,26,9.4,1,1
29.3,449.3,26,9.4,1,1
28.5,356.6,26.1,8.8,0,1
28.4,414.9,26.1,8.5,0,1
29.2,339.4,26.1,8.5,0,1
28.5,295.8,26.1,8.4,0,1
29,343,26.1,8.3,0,1
28.8,299,26.1,8.3,0,1
28.6,390.1,26.1,8.5,0,1
29.2,357,26,8.4,0,1
28.7,478.3,26,8.4,0,1
28.8,412.7,25.9,8.3,0,1
28.7,396.8,26,8.3,0,1
28.8,447.1,26,8.3,0,1
28.5,354.7,26.1,8.2,0,1
29,365.2,26.1,8,1,1
29,296.8,26.1,8.1,0,1
28.8,332.4,26.1,8,1,1
29.1,307.3,26,7.9,1,1
28.9,289.4,26.1,8,1,1
28.9,428.3,26,7.9,1,1
28.8,384.4,25.9,7.8,1,1
28.9,400.6,25.9,7.5,1,1
28.9,348.4,26,7.3,1,1
28.6,407.3,26,7,1,1
28.6,274.2,26,6.9,1,1
28.4,284.7,25.9,6.8,1,1
29.1,279.6,25.9,6.5,1,1
28.7,202.8,25.8,6.3,1,1
28.7,292.3,25.8,6.3,1,1
28.6,256.6,25.9,0,1,1
28.8,341.7,25.9,5.5,1,1
28.6,308.2,25.8,6,1,1
28.5,363.3,25.9,6.2,1,1
